Brand,Bangla,Generic (Composition),Strength,Form,Pack,Group,Company,Price,MRP,Rx
"3 Bion 100 mg+200 mg+200 mcg","3 Bion 100 mg+200 mg+200 mcg","Vitamin B1, B6 & B12","100 mg+200 mg+200 mcg","ট্যাবলেট","6 x 10","Specific combined vitamin preparations","Jenphar Bangladesh Ltd.","12","12","OTC"
"3-C 100 mg/5 ml","3-C 100 mg/5 ml","Cefixime Trihydrate","100 mg/5 ml","পাউডার সাসপেনশন","একক","Third generation cephalosporins","Edruc Limited","195","195","OTC"
"3-C 200 mg","3-C 200 mg","Cefixime Trihydrate","200 mg","ক্যাপসুল","12's pack","Third generation cephalosporins","Edruc Limited","35","35","OTC"
"3-C 400 mg","3-C 400 mg","Cefixime Trihydrate","400 mg","ক্যাপসুল","4's pack","Third generation cephalosporins","Edruc Limited","48","48","OTC"
"3-F 500 mg","3-F 500 mg","Levofloxacin Hemihydrate","500 mg","ট্যাবলেট","20's pack","4-Quinolone preparations","Edruc Limited","14","14","OTC"
"3-Geocef 100 mg/5 ml","3-Geocef 100 mg/5 ml","Cefixime Trihydrate","100 mg/5 ml","পাউডার সাসপেনশন","একক","Third generation cephalosporins","Hallmark Pharmaceuticals Ltd.","175","175","OTC"
"3-Geocef 200 mg","3-Geocef 200 mg","Cefixime Trihydrate","200 mg","ক্যাপসুল","12's pack","Third generation cephalosporins","Hallmark Pharmaceuticals Ltd.","30","30","OTC"
"3D 2000 IU","3D 2000 IU","Cholecalciferol [Vitamin D3]","2000 IU","ট্যাবলেট","3 x 10","Vitamin in bone formation, Vitamin-D preparations","Jenphar Bangladesh Ltd.","2.5","2.5","OTC"
"3D 20000 IU","3D 20000 IU","Cholecalciferol [Vitamin D3]","20000 IU","ক্যাপসুল","1 x 10","Vitamin in bone formation, Vitamin-D preparations","Jenphar Bangladesh Ltd.","20","20","OTC"
"3D 40000 IU","3D 40000 IU","Cholecalciferol [Vitamin D3]","40000 IU","ক্যাপসুল","1 x 6","Vitamin in bone formation, Vitamin-D preparations","Jenphar Bangladesh Ltd.","35","35","OTC"
"3RD Cef 100 mg/5 ml","3RD Cef 100 mg/5 ml","Cefixime Trihydrate","100 mg/5 ml","পাউডার সাসপেনশন","একক","Third generation cephalosporins","Medimet Pharmaceuticals Ltd.","130","130","OTC"
"3RD Cef 200 mg","3RD Cef 200 mg","Cefixime Trihydrate","200 mg","ট্যাবলেট","4's pack","Third generation cephalosporins","Medimet Pharmaceuticals Ltd.","27","27","OTC"
"3RD Cef 400 mg","3RD Cef 400 mg","Cefixime Trihydrate","400 mg","ট্যাবলেট","4's pack","Third generation cephalosporins","Medimet Pharmaceuticals Ltd.","50","50","OTC"
"5 FU PhaRes 25 mg/ml","5 FU PhaRes 25 mg/ml","Fluorouracil","25 mg/ml","IV Injection or Infusion","একক","","ZAS Corporation","457","457","OTC"
"5-Fluril 25 mg/ml","5-Fluril 25 mg/ml","Fluorouracil","25 mg/ml","IV Injection or Infusion","একক","","Techno Drugs Ltd.","70","70","OTC"
"5-IN-1 Cleanser Cream","5-IN-1 Cleanser Cream","Miscellaneous Topical Agents","","ক্রিম","একক","","DBL Healthcare Ltd.","1375","1375","OTC"
"5X 30 mg","5X 30 mg","Ulipristal Acetate [For emergency contraception]","30 mg","ট্যাবলেট","একক","Drugs acting on the Uterus, Emergency Contraceptive Pill","Renata PLC","200","200","OTC"
"A to Z Silver","A to Z Silver","Multivitamin & Multimineral [A-Z silver preparation]","","ট্যাবলেট","1 x 30","Multi-vitamin & Multi-mineral combined preparations","Pharmik Laboratories Ltd.","12","12","OTC"
"A-B1 100 mg","A-B1 100 mg","Thiamine Hydrochloride","100 mg","ট্যাবলেট","10 x 10","Vitamin-B preparations","ACME Laboratories Ltd.","0.86","0.86","OTC"
"A-Cal 500 mg","A-Cal 500 mg","Calcium Carbonate","500 mg","ট্যাবলেট","10 x 10","Minerals in bone formation, Specific mineral preparations","ACME Laboratories Ltd.","5","5","OTC"
"A-Cal D 500 mg+200 IU","A-Cal D 500 mg+200 IU","Conventional Calcium + Vitamin D3","500 mg+200 IU","ট্যাবলেট","1 x 15","Specific mineral & vitamin combined preparations","ACME Laboratories Ltd.","7","7","OTC"
"A-Cal DX 500 mg+400 IU","A-Cal DX 500 mg+400 IU","Conventional Calcium + Vitamin D3","500 mg+400 IU","ট্যাবলেট","1 x 30","Specific mineral & vitamin combined preparations","ACME Laboratories Ltd.","7.5","7.5","OTC"
"A-Calm 50 mg","A-Calm 50 mg","Tolperisone Hydrochloride","50 mg","ট্যাবলেট","5 x 10","Central Depolarizing muscle relaxants, Centrally acting Skeletal Muscle Relaxants","ACME Laboratories Ltd.","8","8","OTC"
"A-Card 20 mg","A-Card 20 mg","Isosorbide Mononitrate","20 mg","ট্যাবলেট","10 x 10","Nitrates: Coronary vasodilators","ACME Laboratories Ltd.","1.43","1.43","OTC"
"A-Care 6 mg+200 mg+50 mg","A-Care 6 mg+200 mg+50 mg","Beta carotene + Vitamin C + Vitamin E","6 mg+200 mg+50 mg","ট্যাবলেট","1 x 20","Anti-oxidant Multivitamin preparations","Asiatic Laboratories Ltd.","2.5","2.5","OTC"
"A-Clox 500 mg","A-Clox 500 mg","Cloxacillin Sodium","500 mg","ক্যাপসুল","25 x 4","Narrow spectrum penicillin","ACME Laboratories Ltd.","5.98","5.98","OTC"
"A-Cof (10 mg+30 mg+1.25 mg)/5 ml","A-Cof (10 mg+30 mg+1.25 mg)/5 ml","Dextromethorphan + Pseudoephedrine + Triprolidine","10 mg+30 mg+1.25 mg)/5 ml","সিরাপ","একক","Combined cough suppressants","ACME Laboratories Ltd.","100","100","OTC"
"A-Cold 4 mg/5 ml","A-Cold 4 mg/5 ml","Bromhexine Hydrochloride","4 mg/5 ml","সিরাপ","একক","Cough expectorants & mucolytics","ACME Laboratories Ltd.","40","40","OTC"
"A-Fenac 12.5 mg","A-Fenac 12.5 mg","Diclofenac Sodium","12.5 mg","সাপোজিটরি","2 x 5","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","ACME Laboratories Ltd.","9","9","OTC"
"A-Fenac 50 mg","A-Fenac 50 mg","Diclofenac Sodium","50 mg","সাপোজিটরি","2 x 5","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","ACME Laboratories Ltd.","15","15","OTC"
"A-Fenac 50 mg","A-Fenac 50 mg","Diclofenac Sodium","50 mg","ট্যাবলেট","10 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","ACME Laboratories Ltd.","2","2","OTC"
"A-Fenac K 50 mg","A-Fenac K 50 mg","Diclofenac Potassium","50 mg","ট্যাবলেট","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","ACME Laboratories Ltd.","4","4","OTC"
"A-Fenac Plus (75 mg+20 mg)/2 ml","A-Fenac Plus (75 mg+20 mg)/2 ml","Diclofenac Sodium + Lidocaine Hydrochloride","75 mg+20 mg)/2 ml","IM Injection","2 x 5","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","ACME Laboratories Ltd.","15","15","OTC"
"A-Fenac SR 100 mg","A-Fenac SR 100 mg","Diclofenac Sodium","100 mg","Tablet (Sustained Release)","10 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","ACME Laboratories Ltd.","3.5","3.5","OTC"
"A-Flox 125 mg/5 ml","A-Flox 125 mg/5 ml","Flucloxacillin Sodium","125 mg/5 ml","পাউডার সাসপেনশন","একক","Narrow spectrum penicillin","ACME Laboratories Ltd.","80","80","OTC"
"A-Flox 250 mg","A-Flox 250 mg","Flucloxacillin Sodium","250 mg","ক্যাপসুল","12 x 4","Narrow spectrum penicillin","ACME Laboratories Ltd.","8","8","OTC"
"A-Flox 500 mg","A-Flox 500 mg","Flucloxacillin Sodium","500 mg","ক্যাপসুল","12 x 4","Narrow spectrum penicillin","ACME Laboratories Ltd.","14","14","OTC"
"A-Flox 500 mg/vial","A-Flox 500 mg/vial","Flucloxacillin Sodium","500 mg/vial","IM/IV Injection","5's pack","Narrow spectrum penicillin","ACME Laboratories Ltd.","45.3","45.3","OTC"
"A-Forte 50000 IU","A-Forte 50000 IU","Vitamin A","50000 IU","ক্যাপসুল","25 x 4","Vitamin-A preparations","Globe Pharmaceuticals Ltd.","1.9","1.9","OTC"
"A-Kit 200 mg+200 mcg","A-Kit 200 mg+200 mcg","Mifepristone + Misoprostol","200 mg+200 mcg","ট্যাবলেট","একক","Drugs acting on the Uterus, Prostaglandin analogues","ACME Laboratories Ltd.","300","300","OTC"
"A-Meb 135 mg","A-Meb 135 mg","Mebeverine Hydrochloride","135 mg","ট্যাবলেট","5 x 10","Anticholinergics","ACME Laboratories Ltd.","6.01","6.01","OTC"
"A-Mectin 12 mg","A-Mectin 12 mg","Ivermectin (Tablet)","12 mg","ট্যাবলেট","1 x 10","Anthelmintic","ACME Laboratories Ltd.","30","30","OTC"
"A-Mectin 6 mg","A-Mectin 6 mg","Ivermectin (Tablet)","6 mg","ট্যাবলেট","1 x 10","Anthelmintic","ACME Laboratories Ltd.","15","15","OTC"
"A-Migel 2% w/w","A-Migel 2% w/w","Miconazole Nitrate","2% w/w","Oral Gel","একক","Aural Anti-fungal preparations","ACME Laboratories Ltd.","75","75","OTC"
"A-Mycin 125 mg/5 ml","A-Mycin 125 mg/5 ml","Erythromycin (Oral)","125 mg/5 ml","পাউডার সাসপেনশন","একক","Anti-diarrhoeal antimicrobial drugs, Macrolides","Aristopharma Ltd.","84.75","84.75","OTC"
"A-Mycin 200 mg/5 ml","A-Mycin 200 mg/5 ml","Erythromycin (Oral)","200 mg/5 ml","Pediatric Drops","একক","Anti-diarrhoeal antimicrobial drugs, Macrolides","Aristopharma Ltd.","60","60","OTC"
"A-Mycin 3% W/V","A-Mycin 3% W/V","Erythromycin (Lotion)","3% W/V","লোশন","একক","Macrolides, Topical antibiotics for Acne","Aristopharma Ltd.","120","120","OTC"
"A-One 120 mg/5 ml","A-One 120 mg/5 ml","Paracetamol","120 mg/5 ml","Oral Suspension","একক","Non-Opioid Analgesics","Apex Pharma Ltd.","35","35","OTC"
"A-One Plus 500 mg+65 mg","A-One Plus 500 mg+65 mg","Paracetamol + Caffeine","500 mg+65 mg","ট্যাবলেট","10 x 10","Non-Opioid Analgesics","Apex Pharma Ltd.","2.4","2.4","OTC"
"A-One XR 665 mg","A-One XR 665 mg","Paracetamol","665 mg","Tablet (Extended Release)","10 x 10","Non-Opioid Analgesics","Apex Pharma Ltd.","2","2","OTC"
"A-Pak 100 mg","A-Pak 100 mg","Aceclofenac","100 mg","ট্যাবলেট","10 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Benham Pharmaceuticals Ltd.","5","5","OTC"
"A-Pak SR 200 mg","A-Pak SR 200 mg","Aceclofenac","200 mg","Tablet (Sustained Release)","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Benham Pharmaceuticals Ltd.","8","8","OTC"
"A-Phenicol 0.5%","A-Phenicol 0.5%","Chloramphenicol (Ophthalmic)","0.5%","Ophthalmic Solution","একক","Anti-infectives & antiseptics, Macrolides","ACME Laboratories Ltd.","34.5","34.5","OTC"
"A-Phenicol D 0.1%+0.5%","A-Phenicol D 0.1%+0.5%","Dexamethasone + Chloramphenicol","0.1%+0.5%","Ophthalmic Solution","একক","Anti-infectives & antiseptics, Ophthalmic steroid - antibiotic combined preparations","ACME Laboratories Ltd.","70.21","70.21","OTC"
"A-Rox 150 mg","A-Rox 150 mg","Roxithromycin","150 mg","ট্যাবলেট","3 x 10","Macrolides","Ambee Pharmaceuticals Ltd.","6.53","6.53","OTC"
"A-Rox 300 mg","A-Rox 300 mg","Roxithromycin","300 mg","ট্যাবলেট","2 x 10","Macrolides","Ambee Pharmaceuticals Ltd.","11.04","11.04","OTC"
"A-Rox 50 mg/5 ml","A-Rox 50 mg/5 ml","Roxithromycin","50 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Ambee Pharmaceuticals Ltd.","45.17","45.17","OTC"
"A-Spasm 5 mg","A-Spasm 5 mg","Oxyphenonium Bromide","5 mg","ট্যাবলেট","10 x 10","Anticholinergics (antimuscarinics)/ Anti-spasmodics","ACME Laboratories Ltd.","1.44","1.44","OTC"
"A-Statin 10 mg","A-Statin 10 mg","Atorvastatin Calcium","10 mg","ট্যাবলেট","3 x 10","Other Anti-anginal & Anti-ischaemic drugs, Statins","Doctor TIMS Pharmaceuticals Ltd.","10","10","OTC"
"A-Tetra 500 mg","A-Tetra 500 mg","Tetracycline Hydrochloride","500 mg","ক্যাপসুল","10 x 10","Tetracycline group of drugs","ACME Laboratories Ltd.","3.39","3.39","OTC"
"A-Zyme 325 mg","A-Zyme 325 mg","Pancreatin","325 mg","ট্যাবলেট","10 x 10","Digestive Enzyme","ACME Laboratories Ltd.","3.51","3.51","OTC"
"AB Kit 200 mg+200 mcg","AB Kit 200 mg+200 mcg","Mifepristone + Misoprostol","200 mg+200 mcg","ট্যাবলেট","একক","Drugs acting on the Uterus, Prostaglandin analogues","Renata PLC","300","300","OTC"
"AB-DS 400 mg","AB-DS 400 mg","Albendazole","400 mg","Chewable Tablet","একক","Anthelmintic","Prime Pharmaceuticals Ltd.","3","3","OTC"
"Abac 125 mg/1.25 ml","Abac 125 mg/1.25 ml","Cephradine","125 mg/1.25 ml","Pediatric Drops","একক","First generation cephalosporins","Chemist Laboratories  Ltd.","65","65","OTC"
"Abac 125 mg/5 ml","Abac 125 mg/5 ml","Cephradine","125 mg/5 ml","পাউডার সাসপেনশন","একক","First generation cephalosporins","Chemist Laboratories  Ltd.","95","95","OTC"
"Abac 500 mg","Abac 500 mg","Cephradine","500 mg","ক্যাপসুল","10 x 4","First generation cephalosporins","Chemist Laboratories  Ltd.","15","15","OTC"
"Abaclor 125 mg/1.25 ml","Abaclor 125 mg/1.25 ml","Cefaclor Monohydrate","125 mg/1.25 ml","Pediatric Drops","একক","Second generation cephalosporins","ACI Limited","135","135","OTC"
"Abaclor 125 mg/5 ml","Abaclor 125 mg/5 ml","Cefaclor Monohydrate","125 mg/5 ml","পাউডার সাসপেনশন","একক","Second generation cephalosporins","ACI Limited","280","280","OTC"
"Abaclor 250 mg","Abaclor 250 mg","Cefaclor Monohydrate","250 mg","ক্যাপসুল","2 x 10","Second generation cephalosporins","ACI Limited","21.14","21.14","OTC"
"Abaclor 500 mg","Abaclor 500 mg","Cefaclor Monohydrate","500 mg","ক্যাপসুল","2 x 6","Second generation cephalosporins","ACI Limited","40.27","40.27","OTC"
"Abacten 200 mg/5 ml","Abacten 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Arges Life Science Limited","130","130","OTC"
"Abacten 500 mg","Abacten 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","2 x 3","Macrolides","Arges Life Science Limited","35","35","OTC"
"Abasaglar 100 IU/ml","Abasaglar 100 IU/ml","Insulin Glargine","100 IU/ml","SC Injection","5's pack","Long Acting Insulin","Healthcare Pharmaceuticals Ltd.","895","895","OTC"
"ABC 6 mg+200 mg+50 mg","ABC 6 mg+200 mg+50 mg","Beta carotene + Vitamin C + Vitamin E","6 mg+200 mg+50 mg","ট্যাবলেট","1 x 20","Anti-oxidant Multivitamin preparations","Union Pharmaceuticals Ltd","2.5","2.5","OTC"
"Abc Derm Hydratant","Abc Derm Hydratant","Baby's Skin Care [ABCDerm]","","লোশন","একক","","UniHealth Limited","3000","3000","OTC"
"Abc Derm Moussant","Abc Derm Moussant","Baby's Skin Care [ABCDerm]","","Liquid Cleanser","একক","","UniHealth Limited","2500","2500","OTC"
"Abdolax 10 mg","Abdolax 10 mg","Sodium Picosulfate","10 mg","ট্যাবলেট","3 x 10","Stimulant Laxative","Incepta Pharmaceuticals Ltd.","10","10","OTC"
"Abdolax 5 mg/5 ml","Abdolax 5 mg/5 ml","Sodium Picosulfate","5 mg/5 ml","Oral Solution","একক","Stimulant Laxative","Incepta Pharmaceuticals Ltd.","150","150","OTC"
"Abdolax Max 7.5 mg/ml","Abdolax Max 7.5 mg/ml","Sodium Picosulfate","7.5 mg/ml","Oral Solution","একক","Stimulant Laxative","Incepta Pharmaceuticals Ltd.","175","175","OTC"
"Abdorin 10 mg","Abdorin 10 mg","Dicycloverine Hydrochloride","10 mg","ট্যাবলেট","5 x 10","Anticholinergics (antimuscarinics)/ Anti-spasmodics","Opsonin Pharma Ltd.","2.01","2.01","OTC"
"Abdorin 10 mg/5 ml","Abdorin 10 mg/5 ml","Dicycloverine Hydrochloride","10 mg/5 ml","সিরাপ","একক","Anticholinergics (antimuscarinics)/ Anti-spasmodics","Opsonin Pharma Ltd.","30.11","30.11","OTC"
"Abecab 10 mg+20 mg","Abecab 10 mg+20 mg","Amlodipine Besilate + Olmesartan Medoxomil","10 mg+20 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","ACI Limited","15","15","OTC"
"Abecab 10 mg+40 mg","Abecab 10 mg+40 mg","Amlodipine Besilate + Olmesartan Medoxomil","10 mg+40 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","ACI Limited","22","22","OTC"
"Abecab 5 mg+20 mg","Abecab 5 mg+20 mg","Amlodipine Besilate + Olmesartan Medoxomil","5 mg+20 mg","ট্যাবলেট","5 x 14","Combined antihypertensive preparations","ACI Limited","12","12","OTC"
"Abecab 5 mg+40 mg","Abecab 5 mg+40 mg","Amlodipine Besilate + Olmesartan Medoxomil","5 mg+40 mg","ট্যাবলেট","6 x 10","Combined antihypertensive preparations","ACI Limited","20","20","OTC"
"Abeclib 150 mg","Abeclib 150 mg","Abemaciclib","150 mg","ট্যাবলেট","3 x 10","Protein kinase inhibitor","Eskayef Pharmaceuticals Ltd.","950","950","OTC"
"Abeclib 200 mg","Abeclib 200 mg","Abemaciclib","200 mg","ট্যাবলেট","2 x 7","Protein kinase inhibitor","Eskayef Pharmaceuticals Ltd.","1150","1150","OTC"
"Aben-DS 400 mg","Aben-DS 400 mg","Albendazole","400 mg","Chewable Tablet","25 x 4","Anthelmintic","Team Pharmaceuticals Ltd.","4.5","4.5","OTC"
"Abetis 10 mg","Abetis 10 mg","Olmesartan Medoxomil","10 mg","ট্যাবলেট","5 x 14","Angiotensin-ll receptor blocker","ACI Limited","7","7","OTC"
"Abetis 20 mg","Abetis 20 mg","Olmesartan Medoxomil","20 mg","ট্যাবলেট","5 x 14","Angiotensin-ll receptor blocker","ACI Limited","11","11","OTC"
"Abetis 40 mg","Abetis 40 mg","Olmesartan Medoxomil","40 mg","ট্যাবলেট","5 x 14","Angiotensin-ll receptor blocker","ACI Limited","18","18","OTC"
"Abetis Plus 20 mg+12.5 mg","Abetis Plus 20 mg+12.5 mg","Olmesartan Medoxomil + Hydrochlorothiazide","20 mg+12.5 mg","ট্যাবলেট","5 x 10","Combined antihypertensive preparations","ACI Limited","11","11","OTC"
"Abetis Plus 40 mg+12.5 mg","Abetis Plus 40 mg+12.5 mg","Olmesartan Medoxomil + Hydrochlorothiazide","40 mg+12.5 mg","ট্যাবলেট","3 x 10","Combined antihypertensive preparations","ACI Limited","18","18","OTC"
"Abevmy 100 mg/4 ml","Abevmy 100 mg/4 ml","Bevacizumab","100 mg/4 ml","আইভি ইনফিউশন","একক","Targeted Cancer Therapy","Beximco Pharmaceuticals Ltd.","14500","14500","Rx"
"Abevmy 400 mg/16 ml","Abevmy 400 mg/16 ml","Bevacizumab","400 mg/16 ml","আইভি ইনফিউশন","একক","Targeted Cancer Therapy","Beximco Pharmaceuticals Ltd.","48500","48500","Rx"
"Abex (30 mg+100 mg+1.25 mg)/5 ml","Abex (30 mg+100 mg+1.25 mg)/5 ml","Pseudoephedrine + Guaiphenasine + Triprolidine","30 mg+100 mg+1.25 mg)/5 ml","সিরাপ","একক","Combined cough expectorants","The IBN SINA Pharmaceutical PLC","35","35","OTC"
"Abex Plus (100 mg+1.1 mg+14 mg)/5 ml","Abex Plus (100 mg+1.1 mg+14 mg)/5 ml","Guaifenesin + Levomenthol + Diphenhydramine","100 mg+1.1 mg+14 mg)/5 ml","সিরাপ","একক","Combined cough expectorants","The IBN SINA Pharmaceutical PLC","80","80","OTC"
"Abexol (200 mg+15 mg+15 mg)/5 ml","Abexol (200 mg+15 mg+15 mg)/5 ml","Guaifenesin + Dextromethorphan + Menthol","200 mg+15 mg+15 mg)/5 ml","সিরাপ","একক","Combined cough expectorants, Combined cough suppressants","The IBN SINA Pharmaceutical PLC","85","85","OTC"
"Abeza 150 mg","Abeza 150 mg","Abemaciclib","150 mg","ট্যাবলেট","1 x 14","Protein kinase inhibitor","Beacon Pharmaceuticals PLC","950","950","OTC"
"Abeza 200 mg","Abeza 200 mg","Abemaciclib","200 mg","ট্যাবলেট","1 x 14","Protein kinase inhibitor","Beacon Pharmaceuticals PLC","1150","1150","OTC"
"Abezino 150 mg","Abezino 150 mg","Abemaciclib","150 mg","ট্যাবলেট","1 x 10","Protein kinase inhibitor","Healthcare Pharmaceuticals Ltd.","950","950","OTC"
"Abezino 200 mg","Abezino 200 mg","Abemaciclib","200 mg","ট্যাবলেট","1 x 10","Protein kinase inhibitor","Healthcare Pharmaceuticals Ltd.","1150","1150","OTC"
"Abicon (500 mg+100 mg)/5 ml","Abicon (500 mg+100 mg)/5 ml","Sodium Alginate + Potassium Bicarbonate","500 mg+100 mg)/5 ml","Oral Suspension","একক","Antacids","Healthcare Pharmaceuticals Ltd.","150","150","OTC"
"Abicon 500 mg+100 mg","Abicon 500 mg+100 mg","Sodium Alginate + Potassium Bicarbonate","500 mg+100 mg","Chewable Tablet","3 x 10","Antacids","Healthcare Pharmaceuticals Ltd.","5","5","OTC"
"Abicon Max (500 mg+213 mg+325 mg)/10 ml","Abicon Max (500 mg+213 mg+325 mg)/10 ml","Sodium Alginate + Sodium Bicarbonate + Calcium Carbonate","500 mg+213 mg+325 mg)/10 ml","Oral Suspension","একক","Antacids","Healthcare Pharmaceuticals Ltd.","300","300","OTC"
"Abicon Plus (500 mg+267 mg+160 mg)/10 ml","Abicon Plus (500 mg+267 mg+160 mg)/10 ml","Sodium Alginate + Sodium Bicarbonate + Calcium Carbonate","500 mg+267 mg+160 mg)/10 ml","Oral Suspension","একক","Antacids","Healthcare Pharmaceuticals Ltd.","250","250","OTC"
"Abiraxen 250 mg","Abiraxen 250 mg","Abiraterone Acetate","250 mg","ট্যাবলেট","4 x 7","Cytotoxic Chemotherapy","Everest Pharmaceuticals Ltd.","580","580","OTC"
"Abiret 250 mg","Abiret 250 mg","Abiraterone Acetate","250 mg","ট্যাবলেট","1 x 7","Cytotoxic Chemotherapy","Drug International Ltd.","500","500","OTC"
"Abiron 250 mg","Abiron 250 mg","Abiraterone Acetate","250 mg","ট্যাবলেট","1 x 28","Cytotoxic Chemotherapy","Ziska Pharmaceuticals Ltd.","520","520","OTC"
"Abixa 10 mg","Abixa 10 mg","Memantine Hydrochloride","10 mg","ট্যাবলেট","2 x 10","Drugs for Dementia","ACI Limited","8","8","OTC"
"ABO Kit 200 mg+200 mcg","ABO Kit 200 mg+200 mcg","Mifepristone + Misoprostol","200 mg+200 mcg","ট্যাবলেট","একক","Drugs acting on the Uterus, Prostaglandin analogues","Globe Pharmaceuticals Ltd.","280","280","OTC"
"Aboprost 200 mcg","Aboprost 200 mcg","Misoprostol","200 mcg","ট্যাবলেট","3 x 10","Drugs acting on the Uterus, Prostaglandin analogues","Benham Pharmaceuticals Ltd.","14.5","14.5","OTC"
"ABpres 0.2%+0.5%","ABpres 0.2%+0.5%","Brimonidine Tartrate + Timolol Maleate","0.2%+0.5%","Ophthalmic Solution","একক","Drugs for miotics and glaucoma","Navana Pharmaceuticals Ltd.","110","110","OTC"
"Absorbent Cotton","সার্জিক্যাল কটন","কটন","","Pack","১০০ গ্রাম","","Medipro","95","120","OTC"
"ABZ 400 mg","ABZ 400 mg","Albendazole","400 mg","Chewable Tablet","5 x 10","Anthelmintic","Al-Madina Pharmaceuticals Ltd.","4","4","OTC"
"AC PR 100 mg","AC PR 100 mg","Aceclofenac","100 mg","ট্যাবলেট","5 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Pacific Pharmaceuticals Ltd.","5","5","OTC"
"AC PR SR 200 mg","AC PR SR 200 mg","Aceclofenac","200 mg","Tablet (Sustained Release)","3 x 10","Drugs for Osteoarthritis, Drugs used for Rheumatoid Arthritis, Non-steroidal Anti-inflammatory Drugs (NSAIDs)","Pacific Pharmaceuticals Ltd.","7","7","OTC"
"Acaluxen 100 mg","Acaluxen 100 mg","Acalabrutinib","100 mg","ক্যাপসুল","1 x 30","Tyrosine Kinase Inhibitor","Everest Pharmaceuticals Ltd.","1000","1000","OTC"
"Acaril 50 mg","Acaril 50 mg","Acarbose","50 mg","ট্যাবলেট","3 x 10","Alpha-Glucosidase inhibitor","The White Horse Pharmaceuticals Ltd.","15","15","OTC"
"ACCU-CHEK Active","ACCU-CHEK Active","Blood glucose monitoring device","","Glucometer","একক","","Radiant Export Import Enterprise","3200","3200","OTC"
"ACCU-CHEK Active","ACCU-CHEK Active","Blood glucose monitoring device","","Test strip","1 x 50","","Radiant Export Import Enterprise","27.56","27.56","OTC"
"ACCU-CHEK Instant","ACCU-CHEK Instant","Blood glucose monitoring device","","Glucometer","একক","","Radiant Export Import Enterprise","3285","3285","OTC"
"ACCU-CHEK Instant","ACCU-CHEK Instant","Blood glucose monitoring device","","Test strip","1 x 10","","Radiant Export Import Enterprise","34.45","34.45","OTC"
"ACCU-CHEK Instant S","ACCU-CHEK Instant S","Blood glucose monitoring device","","Glucometer","একক","","Radiant Export Import Enterprise","2623","2623","OTC"
"ACCU-CHEK Softclix 28G","ACCU-CHEK Softclix 28G","Blood glucose monitoring device","28G","Lancet Needle","100's pack","","Radiant Export Import Enterprise","1.5","1.5","OTC"
"Accuzith 200 mg/5 ml","Accuzith 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","DBL Pharmaceuticals Ltd.","170","170","OTC"
"Accuzith 500 mg","Accuzith 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","2 x 3","Macrolides","DBL Pharmaceuticals Ltd.","55","55","OTC"
"Ace 10 mg/ml","Ace 10 mg/ml","Paracetamol","10 mg/ml","আইভি ইনফিউশন","একক","Non-Opioid Analgesics","Square Pharmaceuticals PLC","150","150","Rx"
"Ace 120 mg/5 ml","Ace 120 mg/5 ml","Paracetamol","120 mg/5 ml","Oral Suspension","একক","Non-Opioid Analgesics","Square Pharmaceuticals PLC","35","35","OTC"
"Ace 120 mg/5 ml","Ace 120 mg/5 ml","Paracetamol","120 mg/5 ml","সিরাপ","একক","Non-Opioid Analgesics","Square Pharmaceuticals PLC","35","35","OTC"
"Ace 125 mg","Ace 125 mg","Paracetamol","125 mg","সাপোজিটরি","6 x 5","Non-Opioid Analgesics","Square Pharmaceuticals PLC","6","6","OTC"
"Ace 250 mg","Ace 250 mg","Paracetamol","250 mg","সাপোজিটরি","6 x 5","Non-Opioid Analgesics","Square Pharmaceuticals PLC","7","7","OTC"
