Brand,Bangla,Generic (Composition),Strength,Form,Pack,Group,Company,Price,MRP,Rx
"Azimete 500 mg","Azimete 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","4's pack","Macrolides","Medimet Pharmaceuticals Ltd.","30","30","OTC"
"Azimex 200 mg/5 ml","Azimex 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Drug International Ltd.","95","95","OTC"
"Azimex 250 mg","Azimex 250 mg","Azithromycin Dihydrate","250 mg","ট্যাবলেট","2 x 5","Macrolides","Drug International Ltd.","25.1","25.1","OTC"
"Azimex 500 mg","Azimex 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","2 x 5","Macrolides","Drug International Ltd.","35.15","35.15","OTC"
"Azimon 200 mg/5 ml","Azimon 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Monicopharma Ltd.","90","90","OTC"
"Azimon 500 mg","Azimon 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","2 x 4","Macrolides","Monicopharma Ltd.","35","35","OTC"
"Azin 200 mg/5 ml","Azin 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","ACME Laboratories Ltd.","95.29","95.29","OTC"
"Azin 250 mg","Azin 250 mg","Azithromycin Dihydrate","250 mg","ক্যাপসুল","2 x 3","Macrolides","ACME Laboratories Ltd.","25.08","25.08","OTC"
"Azin 500 mg","Azin 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","2 x 6","Macrolides","ACME Laboratories Ltd.","55","55","OTC"
"Azinaaf 200 mg/5 ml","Azinaaf 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Naafco Pharma PLC","90","90","OTC"
"Azinaaf 500 mg","Azinaaf 500 mg","Azithromycin Dihydrate","500 mg","ট্যাবলেট","4 x 3","Macrolides","Naafco Pharma PLC","55","55","OTC"
"Azinil 1%","Azinil 1%","Azithromycin Dihydrate (Ophthalmic)","1%","Ophthalmic Solution","একক","Macrolides","Apex Pharma Ltd.","110","110","OTC"
"Azinil 200 mg/5 ml","Azinil 200 mg/5 ml","Azithromycin Dihydrate","200 mg/5 ml","পাউডার সাসপেনশন","একক","Macrolides","Apex Pharma Ltd.","90","90","OTC"
